id,gender,age_group,family_status,district,education_level,favourite_drink
150,female,26-35,single,central,secondary education,beer
151,female,26-35,single,sharon,secondary education,beer
152,female,26-35,married,shfela,academic education,wine
153,female,18-25,single,haifa,secondary education,whiskey
154,female,26-35,single,central,student,beer
155,Male,18-25,single,south,academic education,beer
156,female,18-25,single,judea and samaria,associate degree,cocktail
157,female,18-25,single,central,secondary education,beer
158,female,36-45,married,central,academic education,cocktail
159,female,36-45,married,sharon,academic education,wine
160,Male,26-35,single,south,secondary education,beer
161,female,36-45,single,central,academic education,beer
162,female,26-35,single,central,academic education,gin
163,female,36-45,civil partnership,central,academic education,vodka
164,female,26-35,single,shfela,academic education,vodka
165,female,26-35,single,central,academic education,wine
166,female,26-35,married,central,academic education,champagne
167,female,36-45,married,shfela,academic education,wine
168,Male,36-45,married,south,academic education,whiskey
169,female,18-25,single,south,academic education,beer
170,female,36-45,divorced,sharon,secondary education,cocktail
171,female,26-35,divorced,central,associate degree,wine
172,female,36-45,married,sharon,academic education,rum
173,female,36-45,married,central,academic education,wine
174,female,26-35,single,central,academic education,wine
175,female,36-45,civil partnership,central,academic education,wine
176,Male,26-35,single,shfela,academic education,beer
177,Male,26-35,single,central,academic education,wine
178,female,36-45,married,sharon,academic education,cocktail
179,female,18-25,single,jerusalem,student,jagger
180,female,26-35,single,shfela,student,wine
181,female,36-45,single,central,higher education,wine
182,Male,26-35,single,haifa,secondary education,beer
183,female,36-45,single,central,academic education,whiskey
184,female,26-35,single,sharon,academic education,wine
185,female,18-25,single,haifa,secondary education,wine
186,Male,36-45,divorced,shfela,academic education,beer
187,female,36-45,single,sharon,academic education,cocktail
188,Male,26-35,married,south,academic education,beer
189,Male,18-25,single,north,student,beer
190,female,26-35,single,north,academic education,cider
191,Male,18-25,married,central,secondary education,whiskey
192,Male,18-25,married,central,secondary education,whiskey
193,female,26-35,single,sharon,academic education,beer
194,female,18-25,single,central,secondary education,arak
195,female,18-25,single,central,secondary education,beer
196,female,36-45,single,north,academic education,wine
197,female,26-35,married,central,academic education,wine
198,female,36-45,divorced,jerusalem,academic education,wine
199,Male,18-25,single,judea and samaria,academic education,champagne
200,female,26-35,married,jerusalem,academic education,wine
201,female,26-35,single,judea and samaria,academic education,beer
202,Male,18-25,single,jerusalem,student,whiskey
203,Male,26-35,single,central,academic education,whiskey
204,Male,26-35,married,south,higher education,whiskey
205,Male,26-35,single,central,academic education,whiskey
206,Male,18-25,single,central,secondary education,wine
207,female,18-25,single,central,higher education,gin
208,female,18-25,single,sharon,student,wine
209,female,26-35,single,central,associate degree,gin
210,Male,36-45,married,south,secondary education,whiskey
211,female,26-35,single,shfela,academic education,beer
212,female,18-25,single,sharon,student,wine
213,Male,36-45,single,central,academic education,wine
214,female,26-35,single,central,academic education,wine
215,Male,26-35,married,south,student,whiskey
216,Male,18-25,single,sharon,student,wine
217,female,26-35,single,haifa,academic education,beer
218,female,26-35,married,judea and samaria,academic education,wine
219,female,36-45,civil partnership,sharon,academic education,whiskey
220,female,26-35,married,sharon,academic education,wine
221,Male,26-35,single,central,associate degree,beer
222,Male,26-35,married,central,academic education,beer
223,female,36-45,married,sharon,associate degree,gin
224,female,26-35,married,south,secondary education,vodka
225,female,18-25,civil partnership,north,higher education,vodka
226,Male,26-35,married,jerusalem,academic education,rum
227,Male,26-35,married,jerusalem,academic education,rum
228,female,26-35,single,central,student,beer
229,Male,26-35,married,sharon,academic education,whiskey
230,Male,26-35,single,central,secondary education,whiskey
231,Male,26-35,married,south,secondary education,whiskey
232,female,26-35,married,sharon,associate degree,whiskey
233,female,26-35,married,shfela,higher education,beer
234,Male,18-25,single,central,student,whiskey
235,female,26-35,single,central,academic education,brandy
236,Male,26-35,civil partnership,judea and samaria,student,wine
237,female,18-25,single,sharon,higher education,champagne
238,female,26-35,married,sharon,academic education,wine
239,Male,18-25,single,central,secondary education,whiskey
240,female,18-25,single,central,student,whiskey
241,Male,18-25,single,south,higher education,cocktail
242,Male,18-25,single,central,student,beer
243,Male,18-25,single,central,student,beer
244,female,18-25,single,central,secondary education,arak
245,Male,26-35,single,central,secondary education,beer
246,female,36-45,married,sharon,secondary education,gin
247,Male,26-35,married,south,student,whiskey
248,female,18-25,single,central,secondary education,cocktail
249,Male,18-25,single,sharon,academic education,beer
250,female,26-35,single,haifa,associate degree,wine
